,階層 Layer,平台 Platform,系統 System,模組 Module,組件 Actor,元件 Function / API,輸入 Input,處理 Process,輸出 Output,,,,,,,,,,,,,,,,
建立 audio metadata,,,,metadata_mgt,AudioManager,create_audio_metadata,"headers = { ""Content-Type"": ""application/json"" }

jsondata = {
""conversation_uid"": <uuid>
}","1. 檢查 payload（必填欄位）
2. 透過 conversation_uid 找對應的 conversation metadata
3. 創建 audios/{conversation_uid}/{audio_uid}.webm 路徑
4. 創建 audio metadata","{
""status_code"": <int>,
""message"": ""Audio 建立成功"",
""data"": {
""audio_uid"": <uuid>,
""conversation_uid"": <uuid>,
""audio_path"": <string>,
""created_at"": <string>
}
}",,,,,,,,,,,,,,,,
取得單一 audio metadata,,,,metadata_mgt,AudioManager,get_audio_metadata,"headers = { ""Content-Type"": ""application/json"" }

jsondata = {
""audio_uid"": <uuid>
}","1. 檢查 payload（必填欄位）
2. 透過 audio_uid 找對應的 audio metadata","{
""status_code"": <int>,
""message"": ""Audio 查詢成功"",
""data"": {
""audio_uid"": <uuid>,
""conversation_uid"": <uuid>,
""audio_path"": <string>,
""created_at"": <string>
}
}",,,,,,,,,,,,,,,,
取得對話下 audio 列表 metadata,,,,metadata_mgt,AudioManager,get_audio_metadata_list,"headers = { ""Content-Type"": ""application/json"" }

jsondata = {
""conversation_uid"": <uuid>
}","1. 檢查 payload（必填欄位）
2. 驗證 conversation_uid 是否存在對應的 conversation metadata
3. 透過 conversation metadata 找對應的 audio(s) metadata","{
""status_code"": <int>,
""message"": ""Audio 查詢清單成功"",
""data"": [
{
""audio_uid"": <uuid>,
""audio_path"": <string>,
""created_at"": <string>
},
{...}
]
}",,,,,,,,,,,,,,,,
刪除 audio metadata,,,,metadata_mgt,AudioManager,delete_audio_metadata,"headers = { ""Content-Type"": ""application/json"" }

jsondata = {
""audio_uid"": <uuid>
}","1. 檢查 payload（必填欄位）
2. 透過 audio_uid 找對應的 audio metadata 並刪除 audio metadata","{
""status_code"": <int>,
""message"": ""Audio 刪除成功""
}",,,,,,,,,,,,,,,,
agent manager,,,,,,,,,,,,,,,,,,,,,,,,,
建立 agent metadata,,,,metadata_mgt,AgentManager,create_agent_metadata,"headers = { ""Content-Type"": ""application/json"" }

jsondata = {
""user_uid"": <uuid>,
""agent_name"": <string>,
""api_key"": <uuid>
}","1. 檢查 payload（必填欄位）
2. 驗證 user_uid 是否存在對應的 user metadata
3. 驗證 api_key 可用
4. 創建 agent metadata","{
""status_code""  : <int>,
""message"" : ""成功創建 agent"",
""data"": {
""agent_uid"": <uuid>
}
}",,,,,,,,,,,,,,,,
取得單一 agent 名稱,,,,metadata_mgt,AgentManager,get_agent_name,"headers = { ""Content-Type"": ""application/json"" }

jsondata = {
""agent_uid"": <uuid>
}","1. 檢查 payload（必填欄位）
2. 驗證 user_uid 是否存在對應的 agent metadata","{
""status_code"": <intl>,
""message"": ""成功取得單一 agent 名稱"",
""data"": [
{
""agent_uid"": <uuid>,
""agent_name"": <string>
}
]
}",,,,,,,,,,,,,,,,
取得 agent 清單 metadata,,,,metadata_mgt,AgentManager,get_agent_list_metadata,"headers = { ""Content-Type"": ""application/json"" }

jsondata = {
""user_uid"": <uuid>
}","1. 檢查 payload（必填欄位）
2. 驗證 user_uid 是否存在對應的 agent metadata","{
""status_code"": <intl>,
""message"": ""成功取得使用者的 agent"",
""data"": [
{
""agent_uid"": <uuid>,
""agent_name"": <string>
}, 
{...}
]
}",,,,,,,,,,,,,,,,
更新 agent metadata,,,,metadata_mgt,AgentManager,update_agent_metadata,"headers = { ""Content-Type"": ""application/json"" }

jsondata = {
""agent_uid"": <uuid>,
""agent_name"": <string>, // 可選
""api_key"": <uuid> // 可選
}","1. 檢查 payload（必填欄位）
2. 透過 agent_uid 找對應的 agent metadata 並更新
3. 驗證 api_key 可用","{
""status_code""  : <int>,
""message"" : ""成功更新 agent"",
}",,,,,,,,,,,,,,,,
刪除 agent metadata,,,,metadata_mgt,AgentManager,delete_agent_metadata,"headers = { ""Content-Type"": ""application/json"" }

jsondata = {
""agent_uid"": <uuid>
}","1. 檢查 payload（必填欄位）
2. 透過 agent_uid 找對應的 agent metadata
3. metadata_mgt 呼叫 conversation_mgt/ConversationManager 取得 agent conversation list (get_agent_conversation_list)
4. metadata_mgt 呼叫 conversation_mgt/ConversationManager 刪除 conversation(s) (delete_conversation)
5. 透過 agent_uid 刪除對應的 agent metadata","{
""status_code""  : <int>,
""message"" : ""成功刪除 agent"",
}",,,,,,,,,,,,,,,,
[Module] conversation management,,,,,,,,,,,,,,,,,,,,,,,,,
conversation manager,,,,,,,,,,,,,,,,,,,,,,,,,
建立對話,,,,conversation_mgt,ConversationManager,create_conversation,"headers = { ""Content-Type"": ""application/json"" }

jsondata = {
""user_uid"": <uuid>,
""agent_uid"": <uuid>
}","1. 檢查 payload（必填欄位）
2. conversation_mgt 呼叫 metadata_mgt/ConversationManager 創建 conversation metadata (create_conversation_metadata)
3. conversation_mgt 呼叫 metadata_mgt/WorkflowManager 創建 workflow metadata (create_workflow_metadata)
4. 創建 conversations/{user_uid}/{conversation_uid}.csv
5. conversation_mgt 呼叫 conversation_mgt/ConversationManager 註冊 topic (create_topic)","{
""status_code"": <int>,
""message"": ""Conversation created locally (CSV) and workflow metadata created"",
""data"": {
""conversation_uid"": <uuid>
}
}",,,,,,,,,,,,,,,,
取得對話列表,,,,conversation_mgt,ConversationManager,get_conversation_list,"headers = { ""Content-Type"": ""application/json"" }

jsondata = {
""user_uid"": <uuid>
}","1. 檢查 payload（必填欄位）
2. conversation_mgt 呼叫 metadata_mgt/ConversationManager 取得 conversation(s) metadata (get_conversation_metadata_list)","{
""status_code"": <int>,
""message"": ""Get conversation list success"",
""data"": [
{
""conversation_uid"": <uuid>,
""conversation_name"": <string>,
},
{...}
]
}",,,,,,,,,,,,,,,,
取得單一 agent 對話列表,,,,conversation_mgt,ConversationManager,get_agent_conversation_list,"headers = { ""Content-Type"": ""application/json"" }

jsondata = {
""user_uid"": <uuid>,
""agent_uid"": <uuid>
}","1. 檢查 payload（必填欄位）
2. conversation_mgt 呼叫 metadata_mgt/ConversationManager 取得 conversation(s) metadata (get_conversation_metadata_list)","{
""status_code"": <int>,
""message"": ""Get agent conversation list success"",
""data"": [
{
""conversation_uid"": <uuid>,
""conversation_name"": <string>,
},
{...}
]
}",,,,,,,,,,,,,,,,
刪除對話,,,,conversation_mgt,ConversationManager,delete_conversation,"headers = { ""Content-Type"": ""application/json"" }

jsondata = {
""conversation_uid"": <uuid>
}","1. 檢查 payload（必填欄位）
2. conversation_mgt 呼叫 metadata_mgt/ConversationManager 取得 conversation metadata (get_conversation_metadata)
3. 透過 conversation_path 取得 text_uid(s)
4. conversation_mgt 呼叫 conversation_mgt/TextManager 刪除 text(s) metadata (delete_text)(delete_conversation_metadata)
5. conversation_mgt 呼叫 metadata_mgt/TextManager 刪除 text metadata (delete_text_metadata)
6. 透過 conversation_uid 刪除 texts/{conversation_uid} 資料夾
7. 透過 conversation_path 刪除 conversations/{user_uid}/{conversation_uid}.csv
8. conversation_mgt 呼叫 topic_mgt/TopicManager 刪除 topic (delete_topic)","{
""status_code"": <int>,
""message"": ""Conversation deleted""
}",,,,,,,,,,,,,,,,
text manager,,,,,,,,,,,,,,,,,,,,,,,,,
建立 Text,,,,conversation_mgt,TextManager,create_text,"headers = { ""Content-Type"": ""application/json"" }

jsondata = {
""conversation_uid"": <uuid>,
""text_content"": <array of {type, content}>,
""role"": <string>,
""retry"": <string>
}","1. 檢查 payload（必填欄位）
2. conversation_mgt 呼叫 metadata_mgt/TextManager 創建 text metadata (create_text_metadata)
3. 在 conversations/{user_uid}/{conversation_uid}.csv 新增 text_uid
4. 創建 texts/{conversation_uid}/{text_uid}.json
5. 寫入 texts/{conversation_uid}/{text_uid}.json","{
""status_code"": <int>,
""message"": ""Text created successfully"",
""data"": {
""text_uid"": <uuid>
}
}",,,,,,,,,,,,,,,,
取得 Text,,,,conversation_mgt,TextManager,get_text_list,"headers = { ""Content-Type"": ""application/json"" }

jsondata = {
""conversation_uid"": <uuid>
}","1. 檢查 payload（必填欄位）
2. conversation_mgt 呼叫 metadata_mgt/ConversationManager 取得 conversation metatada (get_conversation_metadata)
3. 透過 conversation_path 取得 text_uid(s)
4. 透過 conversation_uid、text_uid(s) 取得 texts/{conversation_uid}/{text_uid}.json(s)","{
""status_code"": <int>,
""message"": ""Get text list success"",
""data"": [
{
""role"": <string>,
""text_uid"": <uuid>,
""text_content"": <array>,
""reward"": <string>
},
{...}
]
}",,,,,,,,,,,,,,,,
